reaction_id	reaction_type	reactants	products	modifiers
re200	Transcription	21510:IRF1	21531:IRF1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re229	Physical stimulation	21062:HLA-DQA1	21548:MHC_Class_2_Activation	
re530	State transition	21466:HNRNPA2B1	20515:HNRNPA2B1	
re790	Negative influence	21320:CDKN1A	21552:Apoptosis	
re791	Negative influence	21363:SESN1	21552:Apoptosis	
re677	Physical stimulation	21065:FCGR1BP	21541:Inflammation	
re155	Transcription	21235:IFI6	21264:IFI6	21485:STAT1/STAT2/IRF9
re273	State transition	21298:MT2A	21156:MT2A	
re143	Transcription	21395:RSAD2	21405:RSAD2	20655:TLR3/dsRNA/PolyIC;20884:PRMT5;20943:TLR7/ssRNA;20956:CD40LG/CD40;21485:STAT1/STAT2/IRF9
re85	State transition	21083:STAT1	20569:STAT1 homodimer	
re164	State transition	21420:IP6K2	21073:IP6K2	
re564	State transition	21191:MAP2K1	20992:MAP2K1	20804:RAF
re159	Transcription	21473:HLA-A	21376:HLA-A	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re762	State transition	21279:TNFRSF10A	21067:TNFRSF10A,B	
re765	Transcription	21471:SHISA5	21439:SHISA5	21233:TP53
re841	State transition	21312:HLA-DQA2	21010:HLA-DQA2	
re286	Transport	20780:EIF2AK2 homodimer	20879:EIF2AK2 homodimer	
re135	Transcription	21436:IP6K2	21420:IP6K2	21485:STAT1/STAT2/IRF9
re848	State transition	21307:IFI27	20645:IFI27	
re460	Transcription	21340:IKBIP	21537:IKBIP	21233:TP53
re207	State transition	21317:IRF9	20649:IRF9	
re803	State transition	21502:ETS1	21152:ETS1	
re768	Transcription	21425:CD82	21374:CD82	21233:TP53
re245	Transcription	21422:TRIM25	21283:TRIM25	21240:STAT1 homodimer
re158	Transcription	21521:EIF2AK2	21454:EIF2AK2	21485:STAT1/STAT2/IRF9
re417	Heterodimer association	20585:ITGA4/ITGB1;21556:VCAM1	21123:VCAM/ITGA4/ITGB1	
re7	Transport	21047:STAT1/STAT2/IRF9	21485:STAT1/STAT2/IRF9	21018:KPNB1
re175	State transition	21383:IFIT3	21057:IFIT3	
re147	Transcription	21424:IFIT5	21282:IFIT5	21485:STAT1/STAT2/IRF9
re266	State transition	21281:TRIM34	21091:TRIM34	
re784	State transition	21299:GBP1	20626:GBP1	
re228	Physical stimulation	20757:HLA-DRA	21548:MHC_Class_2_Activation	
re139	Transcription	21347:OAS1	21402:OAS1	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re261	State transition	21348:TRIM6	21142:TRIM6	
re338	Heterodimer association	20795:CXCR4;21604:CXCL12	20631:CXCL12/CXCR4	
re243	Transcription	21511:TRIM21	21539:TRIM21	20655:TLR3/dsRNA/PolyIC;21240:STAT1 homodimer
re265	State transition	21283:TRIM25	20666:TRIM25	
re761	Transcription	21453:TNFRSF10A	21279:TNFRSF10A	21233:TP53
re846	State transition	21524:HLA-C	20996:HLA-C	
re654	Physical stimulation	20546:TRIM14	21541:Inflammation	
re845	State transition	21389:HLA-H	20568:HLA-H	
re268	State transition	21296:PML	20798:PML	
re604	Transport	21211:SMAD2/SMAD3/SMAD4	21332:SMAD2/SMAD3/SMAD4	
re780	State transition	21270:GBP2	20706:GBP2	
re568	State transition	20776:SHC1	21148:SHC1	21035:IL21/IL21R;21052:SRC
re145	Transcription	21483:IFIT2	21434:IFIT2	21485:STAT1/STAT2/IRF9
re534	State transition	21387:LMNB1	20514:LMNB1	
re212	Physical stimulation	20996:HLA-C	21551:MHC_Class_1_Activation	
re235	Transcription	21449:FCGR1BP	21458:FCGR1BP	21240:STAT1 homodimer
re186	State transition	21531:IRF1	21094:IRF1	
re802	Transcription	21522:ETS1	21502:ETS1	21268:SP100
re864	Negative influence	21374:CD82	21549:Angiogenesis	
re196	Transcription	21506:SOCS1	21457:SOCS1	21468:STAT5 homodimer
re805	Transport	21152:ETS1	21354:ETS1	
re861	State transition	21439:SHISA5	21184:SHISA5	
re787	State transition	21238:GBP5	20767:GBP5	
re98	State transition	20820:STAT5A/B	20571:STAT5A/B	20775:JAK3
re84	Heterodimer association	20692:STAT2;21083:STAT1	21015:STAT1/STAT2	
re840	State transition	21448:HLA-DQA1	21062:HLA-DQA1	
re649	Physical stimulation	20559:IFI30	21541:Inflammation	
re144	Transcription	21401:IFI35	21285:IFI35	21485:STAT1/STAT2/IRF9
re806	Transport	20700:SP100	21268:SP100	
re588	Heterodimer association	20832:FAS;21574:FASLG	20722:FASL/FASR	
re227	Physical stimulation	21188:HLA-DRB4	21548:MHC_Class_2_Activation	
re137	Transcription	21444:ADAR	21479:ADAR	21485:STAT1/STAT2/IRF9
re208	State transition	21250:IRF5	20784:IRF5	
re600	Heterodimer association	21168:TGFBR1;21564:TGFB1	20781:TGF/TGFBR1	
re43	State transition	20924:CHUK/CHUK	21226:CHUK/CHUK	20971:MAP3K14
re187	State transition	21454:EIF2AK2	20665:EIF2AK2	
re193	State transition	20571:STAT5A/B	20637:STAT5 homodimer	
re838	State transition	21463:HLA-DRB4	21188:HLA-DRB4	
re271	State transition	21458:FCGR1BP	21065:FCGR1BP	
re153	Transcription	21390:GBP2	21270:GBP2	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re83	State transition	21139:STAT2	20692:STAT2	20609:TYK2
re405	Heterodimer association	21122:TNFRSF25;21620:TNFSF15	20939:TNFSF15/TNFRSF25	
re418	Heterodimer association	20846:TCR;21612:MHC1/B2M	20889:MHC1/B2M/TCR	
re477	State transition	20902:ISG15	21080:ISG15	20620:HERC5;21082:UBA7;21118:UBE2L6
re776	State transition	21440:XAF1	20605:XAF1	
re142	Transcription	21295:OASL	21381:OASL	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re557	Transport	21476:IFNG	21662:IFNG	
re775	State transition	21167:ADAR	20833:ADAR1 homodimer	
re176	State transition	21282:IFIT5	20899:IFIT5	
re901	State transition	21225:STAT3	21144:STAT3	21042:JAK2
re215	Transcription	21305:IFI30	21303:IFI30	21240:STAT1 homodimer
re237	Transcription	21494:GBP4	21258:GBP4	21240:STAT1 homodimer
re221	Transcription	21260:HLA-DQA2	21312:HLA-DQA2	21240:STAT1 homodimer
re354	Heterodimer association	20662:IL2R;21601:IL2	21127:IL2/IL2R	
re244	Transcription	21371:TRIM22	21323:TRIM22	21240:STAT1 homodimer
re801	State transition	20764:XIAP	20528:XIAP	20605:XAF1
re586	State transition	20762:PTK2	21019:PTK2	21123:VCAM/ITGA4/ITGB1
re843	State transition	21384:HLA-B	20570:HLA-B	
re671	Heterodimer association	20821:CXCR3;21579:CXCL9	20976:CXCL9-10-11/CXCR3	
re174	State transition	21434:IFIT2	20928:IFIT2	
re400	Heterodimer association	20741:CD70 homotrimer;21628:CD27	20659:CD27/CD70	
re484	Heterodimer association	21174:CCR5;21559:CCL5	21119:CCL5/CCR5	
re655	Physical stimulation	20634:TRIM22	21541:Inflammation	
re172	State transition	21405:RSAD2	21054:RSAD2	
re146	Transcription	21388:IFIT3	21383:IFIT3	21485:STAT1/STAT2/IRF9
re847	Transcription	21460:IFI27	21307:IFI27	21485:STAT1/STAT2/IRF9
re171	State transition	21381:OASL	20751:OASL	
re238	Transcription	21379:GBP5	21238:GBP5	21240:STAT1 homodimer
re141	Transcription	21493:OAS3	21412:OAS3	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re242	Transcription	21252:TRIM14	21325:TRIM14	21240:STAT1 homodimer
re467	Transcription	21350:CDKN1A	21320:CDKN1A	21233:TP53
re555	State transition	21280:SOCS3	20638:SOCS3	
re779	State transition	21361:MX2	20685:MX2	
re163	Transcription	21495:HLA-H	21389:HLA-H	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re76	State transition	20774:JAK1	21012:JAK1	20625:SOCS1;20638:SOCS3;20752:PTPN6;20886:SOCS2;21020:IL6/IL6R;21031:IL7/IL7R;21035:IL21/IL21R;21084:IFNA/IFNAR;21127:IL2/IL2R;21192:IL15R;21204:CISH;21206:IFNG/IFNGR;21220:IFNB/IFNAR
re232	Transcription	21372:PML	21296:PML	21240:STAT1 homodimer
re526	Transcription	21286:RPLP0	21261:RPLP0	21366:STAT4 homodimer
re108	State transition	20736:STAT4	20900:STAT4	21042:JAK2
re672	Heterodimer association	20821:CXCR3;21578:CXCL10	20976:CXCL9-10-11/CXCR3	
re198	State transition	21236:SOCS2	20625:SOCS1	
re230	Physical stimulation	21010:HLA-DQA2	21548:MHC_Class_2_Activation	
re366	Heterodimer association	20953:TNFRSF1B;21571:TNF	20686:TNF/TNFR2	
re688	Heterodimer association	21475:JUN;21517:FOS	21416:AP1	
re148	Transcription	21533:MX1	21397:MX1	21485:STAT1/STAT2/IRF9
re97	State transition	20579:JAK3	20775:JAK3	20549:PTK2B;20625:SOCS1;20638:SOCS3;20886:SOCS2;21031:IL7/IL7R;21035:IL21/IL21R;21127:IL2/IL2R;21192:IL15R
re797	Physical stimulation	20923:RIPK3	21542:Regulated_Necrosis	
re170	State transition	21412:OAS3	20547:OAS3	
re556	State transition	21457:SOCS1	20886:SOCS2	
re156	Transcription	21313:BST2	21391:BST2	21485:STAT1/STAT2/IRF9
re290	State transition	20900:STAT4	20927:STAT4 homodimer	
re291	Transport	20927:STAT4 homodimer	21366:STAT4 homodimer	
re157	Transcription	21288:IFIT1	21456:IFIT1	21485:STAT1/STAT2/IRF9
re250	Physical stimulation	21141:OAS2	21541:Inflammation	
re251	Physical stimulation	20547:OAS3	21541:Inflammation	
re201	Transcription	21316:IRF5	21250:IRF5	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re592	State transition	21131:MAP3K5	21039:MAP3K5	21064:DAXX
re168	State transition	21402:OAS1	21072:OAS1	
re573	State transition	20862:LCK/ZAP70	21175:LCK/ZAP70	20752:PTPN6;20773:PTPRC;20889:MHC1/B2M/TCR
re8	Heterodimer association	20911:IFNGR;21585:IFNG	21206:IFNG/IFNGR	
re831	State transition	21301:GLUT1	20584:GLUT1	
re786	State transition	21258:GBP4	21203:GBP4	
re184	State transition	21264:IFI6	20876:IFI6	
re319	State transition	20577:FADD	20667:FADD	20722:FASL/FASR;20923:RIPK3;21005:TRAIL/TRAILR;21014:MAVS;21153:TRADD;21197:RIPK1
re563	State transition	20778:SRC	21052:SRC	20805:GNAI
re149	Transcription	21514:MX2	21361:MX2	21485:STAT1/STAT2/IRF9
re645	Physical stimulation	20928:IFIT2	21541:Inflammation	
re735	Heterodimer association	21067:TNFRSF10A,B;21610:TNFSF10	21005:TRAIL/TRAILR	
re527	Transcription	21256:ARF1	21404:ARF1	21366:STAT4 homodimer
re603	Heterodimer association	20668:SMAD2/SMAD3;20906:SMAD4	21211:SMAD2/SMAD3/SMAD4	
re218	Transcription	21326:HLA-DRB4	21463:HLA-DRB4	21240:STAT1 homodimer
re169	State transition	21437:OAS2	21141:OAS2	
re357	Heterodimer association	20628:IL6R;21625:IL6	21020:IL6/IL6R	
re525	Transcription	21489:HNRNPA2B1	21466:HNRNPA2B1	21366:STAT4 homodimer
re531	State transition	21261:RPLP0	20556:RPLP0	
re154	Transcription	21297:XAF1	21440:XAF1	21485:STAT1/STAT2/IRF9
re647	Physical stimulation	20899:IFIT5	21541:Inflammation	
re2	Heterodimer association	20523:IFNAR;21594:IFNA	21084:IFNA/IFNAR	
re788	State transition	21362:GBP6	21009:GBP6	
re644	Physical stimulation	20964:IFIT1	21541:Inflammation	
re103	Transport	21426:TOX	21665:TOX	
re203	Transcription	21385:IRF9	21317:IRF9	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re640	Physical stimulation	20684:IFITM1	21541:Inflammation	
re160	Transcription	21247:HLA-B	21384:HLA-B	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re180	State transition	21438:IFITM2	20888:IFITM2	
re656	Physical stimulation	21091:TRIM34	21541:Inflammation	
re260	State transition	21353:TRIM5	21011:TRIM5	
re641	Physical stimulation	20888:IFITM2	21541:Inflammation	
re136	Transcription	21447:ISG20	21515:ISG20	21485:STAT1/STAT2/IRF9
re777	State transition	21391:BST2	20588:BST2	
re646	Physical stimulation	21057:IFIT3	21541:Inflammation	
re789	Negative influence	21324:RRM2	21552:Apoptosis	
re236	Transcription	21315:MT2A	21298:MT2A	21240:STAT1 homodimer
re107	Heterodimer association	20880:IL12R;21619:IL12	20816:IL12/IL12R	
re62	Transport	21008:IRF3	21370:IRF3	
re5	Heterodimer association	20649:IRF9;21015:STAT1/STAT2	21047:STAT1/STAT2/IRF9	
re372	Transport	21588:dsRNA/polyIC	20526:dsRNA	
re166	State transition	21479:ADAR	21167:ADAR	
re799	State transition	21377:FAS	20832:FAS	
re344	Heterodimer association	20712:CXCR6;21586:CXCL16	20759:CXCL16/CXCR6	
re520	Transport	21539:TRIM21	21664:TRIM21	
re766	Transcription	21408:SESN1	21363:SESN1	21233:TP53
re252	Physical stimulation	20751:OASL	21541:Inflammation	
re248	Transcription	21359:GBP3	21360:GBP3	21240:STAT1 homodimer
re267	Translation	21321:NCAM1	20779:NCAM1	
re653	Physical stimulation	21142:TRIM6	21541:Inflammation	
re734	Physical stimulation	21492:ICAM1	21553:T_Cell_Activation/Differentiation	
re239	Transcription	21345:GBP6	21362:GBP6	21240:STAT1 homodimer
re262	State transition	21325:TRIM14	20546:TRIM14	
re570	State transition	20555:SOS2	20678:SOS2	20932:GRB2
re643	Physical stimulation	20876:IFI6	21541:Inflammation	
re240	Transcription	21248:TRIM5	21353:TRIM5	21240:STAT1 homodimer
re151	Transcription	21342:IFITM2	21438:IFITM2	21485:STAT1/STAT2/IRF9
re642	Physical stimulation	21079:IFITM3	21541:Inflammation	
re11	Transport	20569:STAT1 homodimer	21240:STAT1 homodimer	
re165	State transition	21515:ISG20	20840:ISG20	
re853	Physical stimulation	20584:GLUT1	21546:B_Cell_Activation/Survival	
re179	State transition	21429:IFITM1	20684:IFITM1	
re197	Transcription	21455:SOCS2	21236:SOCS2	21468:STAT5 homodimer
re648	Physical stimulation	20694:IFI35	21541:Inflammation	
re867	Transcription	21355:MDM2	21415:MDM2	21233:TP53
re246	Transcription	21516:TRIM34	21281:TRIM34	21240:STAT1 homodimer
re79	Heterodimer association	20523:IFNAR;21615:IFNB1	21220:IFNB/IFNAR	
re214	Physical stimulation	20568:HLA-H	21551:MHC_Class_1_Activation	
re161	Transcription	21259:HLA-C	21524:HLA-C	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re140	Transcription	21432:OAS2	21437:OAS2	21240:STAT1 homodimer;21485:STAT1/STAT2/IRF9
re652	Physical stimulation	21011:TRIM5	21541:Inflammation	
re233	Transcription	21433:SP100	21477:SP100	21240:STAT1 homodimer
re667	Physical stimulation	20514:LMNB1	21552:Apoptosis	
re767	Transcription	21292:RRM2	21324:RRM2	21233:TP53
re95	Heterodimer association	20641:IL7R;21600:IL7	21031:IL7/IL7R	
re493	Physical stimulation	20621:CX3CL1/CX3CR1	21547:Lymphoid_organ_development	
re247	Transcription	21498:GBP1	21299:GBP1	21240:STAT1 homodimer
re220	Transcription	21414:HLA-DQA1	21448:HLA-DQA1	21240:STAT1 homodimer
re689	Transcription	21428:IL2	21501:IL2	21416:AP1
re231	Transcription	21339:NCAM1	21321:NCAM1	21240:STAT1 homodimer
re742	Transport	21284:VCAM1	21661:VCAM1	
re81	State transition	20938:STAT1	21066:STAT1	20841:HDAC3
re616	State transition	21210:CASP8	20809:CASP8	20667:FADD;21224:CFLAR
re669	Transport	21262:CXCL10	21658:CXCL10	
re591	State transition	20808:DAXX	21064:DAXX	20722:FASL/FASR;20781:TGF/TGFBR1
re618	Physical stimulation	20901:CASP7	21552:Apoptosis	
re782	State transition	21474:CISH	21204:CISH	
re524	Transcription	21253:IFNG	21476:IFNG	20621:CX3CL1/CX3CR1;21366:STAT4 homodimer;21416:AP1
re219	Transcription	21411:HLA-DRA	21327:HLA-DRA	21240:STAT1 homodimer
re77	State transition	20861:TYK2	20609:TYK2	20625:SOCS1;20638:SOCS3;20816:IL12/IL12R;20886:SOCS2;21084:IFNA/IFNAR;21220:IFNB/IFNAR
re264	State transition	21323:TRIM22	20634:TRIM22	
re696	Transport	21501:IL2	21646:IL2	
re798	Transcription	21343:FAS	21377:FAS	21233:TP53
re792	Transcription	21409:RIPK1	21300:RIPK1	21485:STAT1/STAT2/IRF9
re529	Transcription	21386:LMNB1	21387:LMNB1	21366:STAT4 homodimer
re152	Transcription	21472:IFITM3	21503:IFITM3	21485:STAT1/STAT2/IRF9
re823	Physical stimulation	21245:ISG15	21541:Inflammation	
re78	State transition	20749:JAK2	21042:JAK2	20625:SOCS1;20638:SOCS3;20816:IL12/IL12R;20886:SOCS2;21020:IL6/IL6R;21206:IFNG/IFNGR
re173	State transition	21285:IFI35	20694:IFI35	
re830	Transcription	21242:GLUT1	21301:GLUT1	
re554	Transcription	21331:SOCS3	21280:SOCS3	21485:STAT1/STAT2/IRF9
re194	Transport	20637:STAT5 homodimer	21468:STAT5 homodimer	
re794	State transition	21300:RIPK1	20828:RIPK1	
re532	State transition	21404:ARF1	20877:ARF1	
re195	Transcription	21427:CISH	21474:CISH	21468:STAT5 homodimer
re167	State transition	21245:ISG15	20902:ISG15	
re210	Physical stimulation	20931:HLA-A	21551:MHC_Class_1_Activation	
re778	State transition	21397:MX1	20972:MX1	
re578	State transition	20858:RAF	20804:RAF	20790:RRAS
re842	State transition	21376:HLA-A	20931:HLA-A	
re181	State transition	21503:IFITM3	21079:IFITM3	
re594	Heterodimer association	20725:TNFRSF1A;21571:TNF	21145:TNF/TNFR1	
re211	Physical stimulation	20570:HLA-B	21551:MHC_Class_1_Activation	
re785	State transition	21360:GBP3	20693:GBP3	
re673	Heterodimer association	20821:CXCR3;21622:CXCL11	20976:CXCL9-10-11/CXCR3	
re217	State transition	21240:STAT1 homodimer	21497:STAT1 homodimer	21314:PTPN2
re284	Transport	20530:PTPN2	21314:PTPN2	
re601	State transition	21134:SMAD2/SMAD3	20668:SMAD2/SMAD3	20781:TGF/TGFBR1
re839	State transition	21327:HLA-DRA	20757:HLA-DRA	
re138	Transcription	21336:ISG15	21245:ISG15	21485:STAT1/STAT2/IRF9
re868	State transition	21415:MDM2	21040:MDM2	
re772	Transport	21178:TP53	21233:TP53	
re82	State transition	21066:STAT1	21083:STAT1	20609:TYK2;21012:JAK1
re249	Physical stimulation	21072:OAS1	21541:Inflammation	
re575	Heterodimer association	20942:CCR9;21617:CCL25	20993:CCL25/CCR9	
re241	Transcription	21441:TRIM6	21348:TRIM6	21240:STAT1 homodimer
re757	State transition	20695:MAX	21218:MAX	21133:MAPK11,12,13,14
re216	State transition	21303:IFI30	20559:IFI30	
re678	State transition	21094:IRF1	20639:IRF1	
re337	Heterodimer association	21056:CX3CR1;21590:CX3CL1	20621:CX3CL1/CX3CR1	
re254	Physical stimulation	20840:ISG20	21541:Inflammation	
re571	State transition	20930:RRAS	20790:RRAS	20678:SOS2
re209	State transition	21456:IFIT1	20964:IFIT1	
re595	State transition	21219:TRADD	21153:TRADD	20939:TNFSF15/TNFRSF25;21145:TNF/TNFR1
re269	State transition	21477:SP100	20700:SP100	
re150	Transcription	21481:IFITM1	21429:IFITM1	21485:STAT1/STAT2/IRF9
re285	State transition	20530:PTPN2	20822:PTPN2	20780:EIF2AK2 homodimer
re619	Heterodimer association	20786:IL15R;21562:IL15	21192:IL15R	
