node_id	node_name	node_type	compartment_id	canonical_form	g_r_p_variants
21605	Ag/IgG	Complex	21555	AG/IGG	
21602	Allergen	Simple molecule	21555	ALLERGEN	20541(Simple molecule)
21558	antigen	Simple molecule	21555	ANTIGEN	20591(Simple molecule),21576(Simple molecule),20793(Simple molecule),21607(Simple molecule),21102(Simple molecule),20969(Simple molecule)
21576	Antigen	Simple molecule	21555	ANTIGEN	21558(Simple molecule),20591(Simple molecule),20793(Simple molecule),21607(Simple molecule),21102(Simple molecule),20969(Simple molecule)
21607	Antigen	Simple molecule	21555	ANTIGEN	21558(Simple molecule),20591(Simple molecule),21576(Simple molecule),20793(Simple molecule),21102(Simple molecule),20969(Simple molecule)
21613	B2M	Protein	21555	B2M	20921(Protein),20891(Protein)
21595	C3a	Protein	21555	C3A	21070(Protein)
21603	C5a	Protein	21555	C5A	21075(Protein)
21591	CCL11	Protein	21555	CCL11	20607(Protein)
21650	CCL13	Protein	21629	CCL13	21367(RNA),21291(Gene)
21568	CCL16	Protein	21555	CCL16	20905(Protein)
21567	CCL19	Protein	21555	CCL19	20985(Protein),21659(Protein),21443(Gene),21535(RNA)
21659	CCL19	Protein	21629	CCL19	21567(Protein),20985(Protein),21443(Gene),21535(RNA)
21572	CCL2	Protein	21555	CCL2	21445(Gene),21089(Protein),21311(RNA),21641(Protein)
21641	CCL2	Protein	21629	CCL2	21445(Gene),21089(Protein),21311(RNA),21572(Protein)
21616	CCL20	Protein	21555	CCL20	20874(Protein)
21657	CCL21	Protein	21629	CCL21	21609(Protein),21380(Gene),21410(RNA)
21609	CCL21	Protein	21555	CCL21	21657(Protein),21380(Gene),21410(RNA)
21589	CCL23	Protein	21555	CCL23	
21617	CCL25	Protein	21555	CCL25	20994(Protein)
21669	CCL3	Protein	21629	CCL3	21341(RNA),21338(Gene)
21637	CCL4	Protein	21629	CCL4	21277(Gene),21241(RNA)
21651	CCL5	Protein	21629	CCL5	21373(Gene),21120(Protein),21239(RNA),21559(Protein)
21559	CCL5	Protein	21555	CCL5	21373(Gene),21651(Protein),21120(Protein),21239(RNA)
21628	CD27	Protein	21555	CD27	20661(Protein)
21596	CD279	Protein	21555	CD279	21104(Protein)
21583	CD40LG	Protein	21555	CD40LG	20958(Protein)
21570	CD80	Protein	21555	CD80	
21573	CD86	Protein	21555	CD86	
21624	CpG_DNA	Simple molecule	21555	CPG_DNA	20825(Simple molecule)
21654	CSF2	Protein	21629	CSF2	21351(Gene),21504(RNA)
21590	CX3CL1	Protein	21555	CX3CL1	20622(Protein)
21634	CXCL1	Protein	21629	CXCL1	21592(Protein),21398(Gene),21271(RNA),20648(Protein)
21592	CXCL1	Protein	21555	CXCL1	21634(Protein),21398(Gene),21271(RNA),20648(Protein)
21658	CXCL10	Protein	21629	CXCL10	21262(RNA),21490(Gene),21578(Protein)
21578	CXCL10	Protein	21555	CXCL10	21262(RNA),21658(Protein),21490(Gene)
21622	CXCL11	Protein	21555	CXCL11	21267(RNA),21246(Gene),21632(Protein)
21632	CXCL11	Protein	21629	CXCL11	21622(Protein),21267(RNA),21246(Gene)
21604	CXCL12	Protein	21555	CXCL12	21251(RNA),21349(Gene),20632(Protein),21643(Protein)
21643	CXCL12	Protein	21629	CXCL12	21251(RNA),21349(Gene),20632(Protein),21604(Protein)
21580	CXCL13	Protein	21555	CXCL13	21199(Protein)
21586	CXCL16	Protein	21555	CXCL16	20760(Protein)
21630	CXCL2	Protein	21629	CXCL2	21464(RNA),21249(Gene)
21660	CXCL3	Protein	21629	CXCL3	21309(RNA),21423(Gene)
21621	CXCL5	Protein	21555	CXCL5	21044(Protein)
21608	CXCL6	Protein	21555	CXCL6	21002(Protein),20830(Protein)
21639	CXCL8	Protein	21629	CXCL8	21513(RNA),21536(Gene)
21645	CXCL9	Protein	21629	CXCL9	21290(Gene),21579(Protein),21318(RNA)
21579	CXCL9	Protein	21555	CXCL9	21290(Gene),21645(Protein),21318(RNA)
21588	dsRNA/polyIC	Simple molecule	21555	DSRNA/POLYIC	20657(Simple molecule)
21599	EDA	Protein	21555	EDA	20583(Protein)
21574	FASLG	Protein	21555	FASLG	20724(Protein)
21582	flagellin	Simple molecule	21555	FLAGELLIN	20802(Simple molecule)
21560	FLT3LG	Protein	21555	FLT3LG	20738(Protein)
21569	ICOSLG	Protein	21555	ICOSLG	20815(Protein)
21653	IFNA	Protein	21629	IFNA	21594(Protein),21532(RNA),21087(Protein),21304(Gene)
21594	IFNA	Protein	21555	IFNA	21653(Protein),21532(RNA),21087(Protein),21304(Gene)
21615	IFNB1	Protein	21555	IFNB1	21265(Gene),21263(RNA),21635(Protein),21223(Protein)
21635	IFNB1	Protein	21629	IFNB1	21615(Protein),21265(Gene),21263(RNA),21223(Protein)
21662	IFNG	Protein	21629	IFNG	21209(Protein),21253(Gene),21476(RNA),21585(Protein)
21585	IFNG	Protein	21555	IFNG	21209(Protein),21662(Protein),21253(Gene),21476(RNA)
21606	igg	Protein	21555	IGG	20968(Protein),20592(Protein),21598(Protein),20794(Protein)
21598	igg	Protein	21555	IGG	21606(Protein),20968(Protein),20592(Protein),20794(Protein)
21584	IL1	Protein	21555	IL1	21112(Protein)
21648	IL10	Protein	21629	IL10	21469(RNA),21538(Gene)
21638	IL12	Protein	21629	IL12	21459(Gene),20819(Protein),21619(Protein),21276(RNA)
21619	IL12	Protein	21555	IL12	21459(Gene),20819(Protein),21638(Protein),21276(RNA)
21562	IL15	Protein	21555	IL15	21310(RNA),21647(Protein),21193(Protein),21337(Gene)
21647	IL15	Protein	21629	IL15	21310(RNA),21562(Protein),21193(Protein),21337(Gene)
21649	IL17A	Protein	21629	IL17A	21254(RNA),21289(Gene)
21666	IL1B	Protein	21629	IL1B	21237(Gene),21446(RNA)
21646	IL2	Protein	21629	IL2	21501(RNA),21130(Protein),21601(Protein),21428(Gene)
21601	IL2	Protein	21555	IL2	21501(RNA),21130(Protein),21646(Protein),21428(Gene)
21636	IL21	Protein	21629	IL21	21329(RNA),21036(Protein),21400(Gene),21577(Protein)
21577	IL21	Protein	21555	IL21	21329(RNA),21036(Protein),21636(Protein),21400(Gene)
21633	IL23A	Protein	21629	IL23A	21375(Gene),21368(RNA)
21652	IL2RA	Protein	21629	IL2RA	20663(Protein),21244(Gene),21128(Protein),21358(RNA)
21668	IL4	Protein	21629	IL4	21421(RNA),21234(Gene)
21640	IL5	Protein	21629	IL5	21308(Gene),21499(RNA)
21625	IL6	Protein	21555	IL6	21266(Gene),21023(Protein),21344(RNA),21655(Protein)
21655	IL6	Protein	21629	IL6	21266(Gene),21023(Protein),21625(Protein),21344(RNA)
21600	IL7	Protein	21555	IL7	21032(Protein)
21557	LPS	Simple molecule	21555	LPS	21114(Simple molecule)
21575	LTA	Protein	21555	LTA	20744(Protein)
21623	LTB	Protein	21555	LTB	
21626	LXA4	Protein	21555	LXA4	
21614	MHC1 proteins	Protein	21555	MHC1 PROTEINS	20920(Protein),20890(Protein)
21612	MHC1/B2M	Complex	21555	MHC1/B2M	
21656	MMP9	Protein	21629	MMP9	21465(RNA),21364(Gene)
21663	MUC1	Protein	21629	MUC1	21232(Gene),21302(RNA)
21587	PG	Simple molecule	21555	PG	20871(Simple molecule),20654(Simple molecule)
21631	PTGS2	Protein	21629	PTGS2	21526(RNA),21470(Gene)
21618	sialic_acid	Simple molecule	21555	SIALIC_ACID	
21566	ssRNA	Simple molecule	21555	SSRNA	21165(Simple molecule),20945(Simple molecule)
21564	TGFB1	Protein	21555	TGFB1	20782(Protein)
21593	TLR10_ligand	Simple molecule	21555	TLR10_LIGAND	
21571	TNF	Protein	21555	TNF	21642(Protein),20688(Protein),21442(Gene),21435(RNA),21147(Protein)
21642	TNF	Protein	21629	TNF	21571(Protein),20688(Protein),21442(Gene),21435(RNA),21147(Protein)
21610	TNFSF10	Protein	21555	TNFSF10	21007(Protein)
21597	TNFSF11	Protein	21555	TNFSF11	20672(Protein)
21581	TNFSF13	Protein	21555	TNFSF13	
21667	TNFSF13B	Protein	21629	TNFSF13B	20680(Protein),21480(RNA),21275(Gene),21563(Protein)
21563	TNFSF13B	Protein	21555	TNFSF13B	21667(Protein),20680(Protein),21480(RNA),21275(Gene)
21565	TNFSF14	Protein	21555	TNFSF14	
21620	TNFSF15	Protein	21555	TNFSF15	20941(Protein)
21665	TOX	Protein	21629	TOX	21509(Gene),21426(RNA)
21664	TRIM21	Protein	21629	TRIM21	21511(Gene),21539(RNA)
21661	VCAM1	Protein	21629	VCAM1	21519(Gene),21284(RNA),21126(Protein),21556(Protein)
21556	VCAM1	Protein	21555	VCAM1	21519(Gene),21284(RNA),21126(Protein),21661(Protein)
21611	VEGFA	Protein	21555	VEGFA	21060(Protein)
21644	VIM	Protein	21629	VIM	21496(RNA),21255(Gene)
21561	XCL1	Protein	21555	XCL1	
21627	XCL2	Protein	21555	XCL2	
